노선번호,노선명,기점명,종점명,정거장구성,노선연장,개통일자,운영기관명,운영기관전화번호,데이터기준일자
S2601,부산도시철도1호선,노포,다대포해수욕장,"0134-노포,0133-범어사,0132-남산,0131-두실,0130-구서,0129-장전,0128-부산대,0127-온천장,0126-명륜,0125-동래,0124-교대,0123-연산,0122-시청,0121-양정,0120-부전,0119-서면,0118-범내골,0117-범일,0116-좌천,0115-부산진,0114-초량,0113-부산역,0112-중앙,0111-남포,0110-자갈치,0109-토성,0108-동대신,0107-서대신,0106-대티,0105-괴정,0104-사하,0103-당리,0102-하단,0101-신평,0100-동매,0099-장림,0098-신장림,0097-낫개,0096-다대포,0095-다대포 해수욕장",7980,1985-07-19,부산교통공사,051-1544-5005,2021-04-14
S2602,부산도시철도2호선,양산,장산,"0243-양산,0242-남양산,0241-부산대양산캠퍼스,0240-증산,0239-호포,0238-금곡,0237-동원,0236-율리,0235-화명,0234-수정,0233-덕천,0232-구명,0231-구남,0230-모라,0229-모덕,0228-덕포,0227-사상,0226-감전,0225-주례,0224-냉정,0223-개금,0222-동의대,0221-가야,0220-부암,0219-서면,0218-전포,0217-국제금융센터.부산은행,0216-문현,0215-지게골,0214-못골,0213-대연,0212-경성.부경,0211-남천,0210-금련산,0209-광안,0208-수영,0207-민락,0206-센텀시티,0205-시립미술관,0204-동백,0203-해운대,0202-중동,0201-장산",7200,1999-06-30,부산교통공사,051-1544-5005,2021-04-14
S2603,부산도시철도3호선,대저,수영,"0317-대저,0316-체육공원,0315-강서구청,0314-구포,0313-덕천,0312-숙등,0311-남산정,0310-만덕,0309-미남,0308-사직,0307-종합운동장,0306-거제,0305-연산,0304-물만골,0303-배산,0302-망미,0301-수영",0,2005-11-28,부산교통공사,051-1544-5005,2021-04-14
S2604,부산도시철도4호선,안평,미남,"0414-안평,0413-고촌,0412-동부산대학,0411-영산대,0410-석대,0409-반여농산물시장,0408-금사,0407-서동,0406-명장,0405-충렬사,0404-낙민,0403-수안,0402-동래,0401-미남",0,2011-03-30,부산교통공사,051-1544-5005,2021-04-14
